instance_name,opt_value,solver,solution_cost,deviation_%,time_sec,solution_sets
scp52,302.0,randomized_plus_BI_drop_or_swap,394.0,30.46,29.4722,"0,1,2,3,6,7,8,10,11,12,13,14,15,16,17,18,19,20,22,27,29,30,33,35,36,43,44,45,47,48,51,57,58,61,73,77,82,87,90,92,98,100,103,106,112,118,122,129,135,138,139,140,145,147,149,158,165,177,190,192,217,256,265,561,563,634"
scp54,242.0,randomized_plus_BI_drop_or_swap,352.0,45.45,31.5447,"0,2,3,5,6,7,12,13,14,15,16,17,21,27,28,29,30,32,33,34,36,37,44,48,49,53,54,55,57,62,64,70,75,76,82,86,87,89,97,102,104,105,107,108,115,117,128,137,142,147,161,164,195,210,237,242,264,280,415,436,452,454,704"
scpb1,69.0,randomized_plus_BI_drop_or_swap,145.0,110.14,64.5375,"0,1,3,4,6,7,8,9,10,13,14,18,20,21,30,31,32,33,34,38,40,43,45,50,52,61,107,130,131,137,179,195,251,277,414,471,659"
scpa3,232.0,randomized_plus_BI_drop_or_swap,441.0,90.09,72.112,"0,1,2,3,5,7,9,12,14,15,17,21,26,30,31,32,34,36,39,44,48,54,58,63,64,67,69,71,79,81,82,93,98,101,105,106,107,112,115,116,122,124,125,134,140,142,155,158,159,168,172,179,186,189,198,214,221,227,243,251,254,257,296,337,365,439,451,558,605,627,1067,1651"
scpb3,80.0,randomized_plus_BI_drop_or_swap,156.0,95.0,66.1153,"0,3,4,5,6,9,10,11,12,18,19,20,21,22,25,26,27,28,29,30,31,32,34,40,41,44,52,54,56,61,68,81,91,116,150,206,236,321,368,1153"
scpa5,236.0,randomized_plus_BI_drop_or_swap,562.0,138.14,76.0093,"0,1,2,4,5,6,8,9,10,11,12,13,14,19,21,22,23,24,28,33,45,49,53,62,63,67,68,69,81,82,86,87,89,90,91,97,105,107,109,118,135,137,138,145,154,157,158,165,167,205,210,246,271,303,307,314,321,452,470,662,688,794,912,913,1018,1173,1515,1834"
scpa1,253.0,randomized_plus_BI_drop_or_swap,378.0,49.41,83.92,"0,1,2,4,5,11,13,14,16,17,18,23,30,31,32,33,34,37,38,40,43,45,46,47,48,51,59,62,63,65,66,67,75,84,85,86,87,90,91,94,98,104,116,123,125,129,132,143,162,169,188,189,191,194,195,199,213,219,221,245,253,269,270,463,693,1004,1302"
scpb4,79.0,randomized_plus_BI_drop_or_swap,201.0,154.43,84.4143,"0,1,5,6,7,8,9,10,11,15,16,17,18,21,22,23,24,26,27,28,32,33,39,41,43,50,62,63,64,94,102,108,125,193,212,215,598,629,631,809,938"
scpb2,76.0,randomized_plus_BI_drop_or_swap,133.0,75.0,90.1661,"0,1,2,3,4,5,6,8,9,10,12,14,15,17,34,37,38,39,43,49,51,56,62,66,68,69,78,84,99,101,104,111,118,132,135,188,204,361,364,389"
scpa2,252.0,randomized_plus_BI_drop_or_swap,429.0,70.24,101.3044,"1,2,3,4,5,7,8,9,12,13,14,19,24,25,27,28,29,30,31,32,33,37,41,46,48,52,59,60,64,66,69,74,77,78,79,82,83,88,89,90,91,93,100,102,105,109,114,126,130,140,141,144,153,154,173,174,188,195,202,203,243,247,324,331,359,414,453,1000,1004,2195"
scpb5,72.0,randomized_plus_BI_drop_or_swap,119.0,65.28,99.672,"0,2,3,4,5,6,7,11,12,14,17,19,22,23,24,25,27,33,34,36,37,38,41,48,54,66,68,70,71,77,81,115,123,144,161,204,362,364,457"
scpa4,234.0,randomized_plus_BI_drop_or_swap,359.0,53.42,108.9899,"0,2,4,5,6,7,10,11,12,15,19,21,25,28,32,33,34,35,36,37,38,40,41,43,46,47,48,53,54,58,61,62,63,64,65,68,70,74,81,86,87,95,107,112,118,120,122,123,125,129,139,160,165,196,197,203,218,224,228,246,249,278,280,354,358,451,584,590,636,952"
scpc2,219.0,randomized_plus_BI_drop_or_swap,426.0,94.52,157.0157,"2,3,4,5,6,8,10,12,13,14,15,16,17,22,24,25,26,27,30,32,33,34,36,41,43,44,46,47,48,54,56,62,64,65,67,69,72,79,81,82,84,86,88,89,90,94,97,100,119,122,123,132,148,161,162,176,177,183,199,204,214,222,245,253,280,288,355,384,483,485,490,535,721,743,978,1806,2804"
scpd5,61.0,randomized_plus_BI_drop_or_swap,313.0,413.11,78.503,"3,5,7,8,13,16,19,20,23,24,26,28,30,33,44,45,47,52,53,59,106,132,135,145,189,194,196,210,243,329,374,384,469,504,537,731,753,797,826,1030,1147,1480"
scpc1,227.0,randomized_plus_BI_drop_or_swap,390.0,71.81,161.8511,"1,3,4,6,7,9,10,11,12,14,15,16,18,20,23,25,26,27,31,32,33,34,40,42,44,45,47,49,50,51,58,59,60,61,63,64,66,67,69,77,80,82,83,91,95,96,97,102,103,105,116,117,118,130,136,140,144,160,165,167,170,171,177,178,205,207,236,241,254,310,321,343,349,354,378,460,499,505,605,699,770,1938"
scpc4,219.0,randomized_plus_BI_drop_or_swap,473.0,115.98,171.6256,"0,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,21,23,24,31,32,34,38,40,43,44,45,46,50,51,52,54,55,60,69,71,73,75,85,86,87,91,94,103,110,121,128,129,150,153,154,156,163,177,179,181,188,193,200,204,206,239,249,266,279,281,329,331,335,358,537,539,540,546,560,608,771,790,895,1623,2266"
scpd2,66.0,randomized_plus_BI_drop_or_swap,118.0,78.79,118.1625,"0,1,2,3,4,5,6,7,8,9,10,11,12,16,17,18,19,21,22,23,24,25,26,29,30,34,39,42,49,51,56,60,62,79,94,103,141,164,201,229,247,249,326,334,618"
scpc3,243.0,randomized_plus_BI_drop_or_swap,609.0,150.62,186.1597,"2,4,5,7,9,10,14,15,17,19,23,27,28,30,31,34,35,37,39,45,47,48,49,59,60,65,67,68,72,73,75,76,78,80,83,84,88,89,108,110,117,118,129,130,133,136,143,157,158,159,172,173,182,192,211,223,227,266,270,362,432,437,453,500,511,534,687,802,878,1047,1062,1331,1384,1698,3928"
scpd3,72.0,randomized_plus_BI_drop_or_swap,180.0,150.0,127.5662,"0,1,2,3,4,5,6,8,9,10,11,14,21,24,25,27,28,30,32,33,35,39,40,42,44,46,47,52,54,56,58,60,62,66,75,95,117,203,204,233,660,904,1099,1303"
scpc5,215.0,randomized_plus_BI_drop_or_swap,588.0,173.49,137.2657,"0,1,2,3,7,8,9,10,11,12,14,17,18,19,21,27,33,37,38,40,41,43,45,46,48,49,51,52,54,60,63,64,65,86,90,113,114,117,122,131,132,142,146,151,152,159,161,169,203,209,210,250,300,308,319,375,379,381,382,424,519,527,561,570,571,615,636,644,997,1463,1793,2804,3120"
scpd4,62.0,randomized_plus_BI_drop_or_swap,116.0,87.1,131.7575,"0,1,2,3,4,5,7,8,10,11,12,13,14,15,17,20,21,23,27,29,30,32,33,35,36,41,45,46,50,52,53,60,65,66,67,76,87,94,111,112,194,320,371,1453"
scpd1,60.0,randomized_plus_BI_drop_or_swap,101.0,68.33,169.8135,"0,1,2,4,5,6,7,8,11,12,13,14,15,16,17,22,23,25,27,30,31,32,35,36,37,39,41,44,48,51,57,58,67,68,74,85,92,98,101,118,130,140,223,1123"
