instance_name,opt_value,solver,solution_cost,deviation_%,time_sec,solution_sets
scp57,293.0,greedy_randomized_adaptive,2813.0,860.07,0.2753,"23,26,46,52,56,67,78,85,86,87,90,104,129,168,185,190,196,200,207,221,228,229,241,243,246,296,297,301,306,321,325,328,334,356,357,363,378,395,439,455,475,495,496,506,537,549,550,564,587,611,621,622,645,651,718,776,836,847,871,905,998,1077,1080,1094,1106,1115,1126,1233,1278,1349,1379,1408,1439,1460,1520,1649,1665,1681,1690,1746,1764,1827,1984"
scp58,288.0,greedy_randomized_adaptive,2721.0,844.79,0.2726,"14,29,38,42,46,48,63,74,78,83,84,96,99,109,125,128,149,150,153,167,171,179,188,207,223,230,255,262,265,266,268,302,316,325,329,338,340,356,366,381,411,431,442,477,494,516,544,556,558,593,594,608,646,648,652,665,689,710,738,742,763,793,820,824,865,938,957,960,967,1060,1084,1097,1108,1119,1125,1144,1159,1258,1358,1364,1388,1437,1464,1545,1760,1782,1833,1918"
scp59,279.0,greedy_randomized_adaptive,2786.0,898.57,0.2771,"15,16,23,46,47,49,67,73,76,89,109,120,132,136,190,210,211,215,225,227,230,241,270,276,309,316,325,331,349,353,358,364,369,371,379,381,393,408,416,423,426,454,457,464,482,500,502,529,530,540,551,574,599,600,608,627,635,655,656,663,668,675,678,684,695,829,874,884,929,1007,1060,1085,1088,1101,1130,1197,1222,1268,1338,1354,1361,1363,1385,1554,1564,1639,1747,1871,1978"
scp61,138.0,greedy_randomized_adaptive,1797.0,1202.17,0.0911,"11,29,30,33,36,37,47,48,58,62,90,101,139,150,153,168,170,190,197,200,208,225,267,273,277,298,356,379,387,388,405,410,433,482,508,535,546,551,615,632,634,686,695,698,812,828,847,851,915,966"
scp62,146.0,greedy_randomized_adaptive,1917.0,1213.01,0.0959,"4,15,20,32,40,43,46,49,60,71,92,120,130,137,141,143,156,158,161,162,172,184,199,206,219,236,262,267,278,285,303,334,346,370,403,409,439,453,518,540,547,576,642,649,677,746,755,777,805,855,931,948,976,984"
scp63,145.0,greedy_randomized_adaptive,1800.0,1141.38,0.1001,"1,6,23,27,28,34,44,45,62,68,85,138,141,145,147,150,156,158,166,167,169,172,203,222,234,240,246,255,266,290,303,348,359,370,390,400,431,546,548,582,589,605,610,613,651,691,732,780,781,799,824,851,976"
scp64,131.0,greedy_randomized_adaptive,1916.0,1362.6,0.1045,"4,26,27,29,40,41,55,59,86,110,126,127,140,141,144,150,152,154,161,165,175,185,201,240,252,269,271,274,338,352,356,368,374,382,392,446,524,553,573,601,640,682,790,793,817,843,876,877,902,909,922,949"
scp65,161.0,greedy_randomized_adaptive,1731.0,975.16,0.1027,"5,42,59,60,64,75,86,87,88,109,115,136,138,142,150,156,159,160,177,183,206,207,218,222,273,286,294,297,298,318,341,394,418,420,435,441,587,601,642,664,707,708,759,852,856,870,909,922,961"
scpa1,253.0,greedy_randomized_adaptive,3552.0,1303.95,0.5376,"50,52,61,70,82,99,118,136,165,175,189,191,194,223,245,248,283,286,291,293,296,304,351,352,357,401,403,416,427,445,464,477,478,484,485,518,554,557,564,584,597,616,644,658,733,734,761,790,798,807,817,857,870,877,887,891,903,925,966,1000,1001,1052,1061,1120,1133,1171,1194,1209,1254,1306,1309,1362,1365,1372,1382,1418,1430,1448,1505,1547,1570,1571,1655,1671,1692,1733,1827,1906,1946,1947,2031,2069,2198,2212,2354,2383,2594,2597,2601,2638,2789,2946,2962"
scpa2,252.0,greedy_randomized_adaptive,3609.0,1332.14,0.5302,"57,81,103,104,147,155,159,171,199,204,234,251,268,271,283,300,318,338,411,414,415,429,441,468,475,477,540,549,564,589,623,652,661,679,705,753,785,789,803,858,872,902,933,934,960,971,981,982,988,997,1004,1006,1012,1015,1018,1023,1048,1072,1134,1145,1209,1275,1294,1398,1400,1442,1458,1484,1543,1554,1608,1613,1672,1700,1713,1788,1873,1890,1942,1952,1975,1995,2013,2063,2070,2079,2103,2104,2205,2329,2371,2507,2515,2598,2653,2789"
